,id,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,total_sf,total_bth,total_bth/sf,total_bed/sf,sale_code,neighborhood,nbhd_rank,nbhd_rank_idx,nbhd_rank_idx_1,nbhd_rank_idx_2,nbhd_rank_idx_3,nbhd_rank_idx_4,nbhd_rank_idx_5,nbhd_rank_idx_6,zone_code,A/C_Y,pvddrv_Y,ex_kitch,is_flat,func_typ,ex_ext,zoning,zne_I (all),zne_R,cond1_A,cond1_N,cond2_A,cond2_N,PosA,PosN,pos_a/n,has_pool,good_pool,sale_high,good_roof,2story,feats,good_bsmt,good_fire,good_grg,is_new,is_new_1,old_val,is_new_rem,is_new_rem_1,old_rem,ext_code,bsmt_code,fire_code,grg_code,pool_code,ktch_code,log_qual,estimates
0,2658,69.0,9142,6,8,1910,1950,0.0,0.0,0.0,1020.0,1020.0,908,1020,0,1928,0.0,0.0,2,0,4,2,9,0,1.0,440.0,0,60,112,0,0,0,0,4,2006,2948.0,2.0,0.0006784260515603799,0.0013568521031207597,4,OldTown,24,6,0,0,0,0,0,1,3,0,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1910,0,0,1910,3,2,0,1,0,3,1.791759469228055,151648.8124992842
1,2718,0.0,9662,5,4,1977,1977,0.0,0.0,0.0,1967.0,1967.0,1967,0,0,1967,0.0,0.0,2,0,6,2,10,0,2.0,580.0,170,0,0,0,0,0,0,8,2006,3934.0,2.0,0.0005083884087442806,0.001525165226232842,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1977,0,0,1977,2,2,0,2,0,2,1.6094379124341003,183752.91925768554
2,2414,58.0,17104,7,5,2006,2006,0.0,554.0,0.0,100.0,654.0,664,832,0,1496,1.0,0.0,2,1,3,1,7,1,2.0,426.0,100,24,0,0,0,0,0,9,2006,2150.0,4.0,0.0018604651162790699,0.0013953488372093023,0,Gilbert,12,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,1,0,2006,1,1,0,2,4,4,2,0,4,1.9459101490553132,206243.2298757186
3,1989,60.0,8520,5,6,1923,2006,0.0,0.0,0.0,968.0,968.0,968,0,0,968,0.0,0.0,1,0,2,1,5,0,2.0,480.0,0,0,184,0,0,0,0,7,2007,1936.0,1.0,0.0005165289256198347,0.0010330578512396695,4,OldTown,24,6,0,0,0,0,0,1,3,1,0,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,2,2,0,2,0,2,1.6094379124341003,115151.5976819982
4,625,0.0,9500,6,5,1963,1963,247.0,609.0,0.0,785.0,1394.0,1394,0,0,1394,1.0,0.0,1,1,3,1,6,2,2.0,514.0,0,76,0,0,185,0,0,7,2009,2788.0,3.0,0.0010760401721664275,0.0010760401721664275,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1963,0,0,1963,2,2,4,2,0,2,1.791759469228055,175244.79502232154
5,333,21.0,1890,4,6,1972,1972,0.0,294.0,0.0,252.0,546.0,546,546,0,1092,0.0,0.0,1,1,3,1,5,0,1.0,286.0,0,0,64,0,0,0,0,6,2010,1638.0,2.0,0.001221001221001221,0.0018315018315018315,4,MeadowV,27,6,0,0,0,0,0,1,3,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1972,0,0,1972,2,2,0,2,0,2,1.3862943611198906,85008.51047864111
6,1327,52.0,8516,4,6,1958,2006,0.0,0.0,0.0,869.0,869.0,1093,0,0,1093,0.0,0.0,1,0,2,1,5,0,1.0,308.0,0,0,0,0,0,0,0,5,2008,1962.0,1.0,0.0005096839959225281,0.0010193679918450561,4,OldTown,24,6,0,0,0,0,0,1,3,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,2,2,0,2,0,2,1.3862943611198906,102255.39146697932
7,858,0.0,9286,5,7,1977,1989,0.0,196.0,0.0,1072.0,1268.0,1268,0,0,1268,0.0,0.0,1,1,3,1,5,0,1.0,252.0,173,0,0,0,0,0,0,10,2009,2536.0,2.0,0.0007886435331230284,0.0011829652996845426,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,1977,0,0,1977,2,4,0,2,0,4,1.6094379124341003,147897.6726456256
8,95,39.0,3515,7,5,2004,2004,0.0,0.0,0.0,840.0,840.0,840,840,0,1680,0.0,0.0,2,1,2,1,3,0,2.0,588.0,0,111,0,0,0,0,0,1,2010,2520.0,3.0,0.0011904761904761906,0.0007936507936507937,4,Somerst,6,2,0,1,0,0,0,0,0,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,1,0,2004,1,1,0,2,2,0,2,0,4,1.9459101490553132,208364.59808802634
9,1568,75.0,10125,6,6,1977,1977,0.0,641.0,279.0,276.0,1196.0,1279,0,0,1279,0.0,1.0,2,0,3,1,6,2,2.0,473.0,238,83,0,0,0,0,0,2,2008,2475.0,3.0,0.0012121212121212121,0.0012121212121212121,4,Mitchel,15,4,0,0,0,1,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1977,0,0,1977,2,2,3,2,0,2,1.791759469228055,171333.660464787
